nPsoRun,n_iter,S,fgbest,optDes
162,281,300,0.5794088714215977,[0.00031650701112545505; 0.7799390627940084; 1.0; -0.7799315962151263; -0.00023477846886416393; -0.9999993984981554]
163,259,300,0.5794091811853839,[0.9999997688457203; 0.00029508213820967125; -0.7799562778940538; -0.0007545582777019936; -1.0; 0.7799145285246404]
164,501,300,0.5794087569705033,[0.7799073621172444; 1.0; -0.999999999855643; -0.00030715263109349505; -0.7799635079357805; -0.0003156063621548863]
165,278,300,0.579409891299999,[1.0; -0.779947161538193; 0.7799257867102302; -0.999999360802261; -0.0007417134536815636; 0.0005385810408376054]
166,559,300,0.579410161932948,[0.0014416962773096454; 0.999999999998595; -0.999999999153378; 0.7800652500821682; -0.7798052951769254; 0.001441650066098313]
167,45,300,0.579899726112381,[1.0; 0.7811011262481712; -1.0; -0.7800941366978331; -0.009876639445758654; -0.0013412443616997258]
168,397,300,0.5794088012592493,[-0.7799701708078519; -0.0003890672321642805; -0.9999999838094472; 0.7799007013804454; -0.00038160860292461315; 0.9999999999831269]
169,102,300,0.579709154232833,[-1.0; 0.7785312640580216; -0.006647794475078504; 1.0; -0.02158797103324959; -0.7811231663824113]
170,637,300,0.5794088725754217,[0.9999999999827274; 0.7798893821853697; -0.7799814625908428; -0.0005094890396323873; -0.999999999925751; -0.0005118454208978659]
171,278,300,0.5794089523394573,[-0.9999996171867157; 0.0001921711284433557; -0.7799442983455318; -0.00038390235458641707; 0.7799267323432906; 1.0]
172,206,300,0.5794101165373395,[-0.0006576424115116778; 0.7799559846109837; -0.779914675840462; 0.001133260243143554; 1.0; -0.9999983911034452]
173,502,300,0.5794088370067576,[-1.0; 0.7799763163166772; 0.0004565997179101268; 0.0004502570842895748; 0.9999999999994249; -0.7798945456841666]
174,540,300,0.5794087534042505,[-0.00033294500711242384; -0.00012918919945104383; -1.0; 1.0; 0.7799145781815088; -0.7799562426126754]
175,371,300,0.5794090672489376,[-0.9999990991068586; -0.7799484918154241; 0.0001175330258781609; 0.7799219868666777; -0.00041154100955662467; 1.0]
176,392,300,0.5794087257206185,[3.572530873434111e-5; 0.9999999928808699; -0.7799454058070167; 0.7799254288576194; -1.0; -0.0002573176226718904]
177,636,300,0.5794110232151546,[0.7800947853098393; -0.9999999540291327; 0.001721773820818381; -0.7797753625520988; 0.0018209821941109932; 0.9999999890883883]
178,197,300,0.5794097332195594,[-0.00010066676250886157; -1.0; 0.7798768961922286; 1.0; -0.001193860651800534; -0.7799937480156719]
