nPsoRun,n_iter,S,fgbest,optDes
117,283,300,-75.00000000000003,[1.0; 1.2842865765176186e-8; -5.656058177225446e-9; 1.0; -1.0; -1.0; -1.0; -1.053287145425208e-8; 1.0]
118,318,300,-75.00000000000003,[2.2256226195781425e-9; -1.0; 2.042145570045543e-9; -1.0; -1.0; 1.0; -8.065092384526454e-9; 1.0; 1.0]
119,363,300,-75.00000000000001,[1.0; 1.1230075995573561e-8; -1.0; -1.0; -2.1165200148803147e-8; -1.0; 1.0539111364124947e-8; 1.0; 1.0]
120,242,300,-75.00000000000001,[-1.0; -1.0; -1.4585913127543127e-8; 1.0; -1.0; 1.0; 1.1611806243485256e-8; -1.697630880222479e-8; 1.0]
121,280,300,-75.00000000000001,[1.0; -1.0; 2.3506977265215005e-8; 5.35028912223814e-9; 1.0; -1.0; -1.0; 1.0; -1.480376470478807e-8]
122,202,300,-75.00000000000001,[1.0; 1.942435643446602e-9; -1.0; -1.0; 1.0; -1.0; 2.0753483312937053e-8; -8.401580307126722e-10; 1.0]
123,266,300,-75.00000000000001,[1.0; 2.0693638431178314e-8; -1.0; -1.0; 1.0; 1.0; -1.0; 7.1103148559212325e-9; 4.665913824394105e-9]
124,243,300,-75.00000000000001,[1.0; -3.1274125094396657e-9; -1.0; 1.0; -1.0; -1.0; 1.094277711910819e-9; 1.0; 3.915971488391615e-9]
125,226,300,-75.00000000000001,[-1.0; 1.282829166225467e-8; 1.0; -1.0; 1.0; -1.7524861296330783e-8; 1.0; -7.983923611812094e-9; -1.0]
126,220,300,-75.00000000000001,[-1.1240030482015553e-8; 1.4842045805782591e-8; -1.0; -1.0; 1.0; 1.0; 1.2011930187833842e-8; -1.0; 1.0]
127,257,300,-75.00000000000001,[1.0; -1.0; -1.0570455229574034e-8; -1.0; 1.0; -1.0; 5.305657295414097e-9; 9.344520190782906e-9; 1.0]
128,255,300,-75.00000000000003,[-1.0; 0.9999999999999999; -1.0; 1.0; 2.5696606429777827e-9; -8.256464927799291e-9; -1.0; -2.7899430526028972e-9; 1.0]
