nPsoRun,n_iter,S,fgbest,optDes
233,135,300,-19.512625442002918,[1.0; -1.0; -0.6963202324557052; 0.6963202782958045]
234,352,300,-19.512631368174794,[-0.6963202947436827; 0.6963202947436827; 0.9999999999999998; -1.0]
235,44,300,-19.481481374770066,[1.0; -0.6959206911933596; -1.0; 0.6961142398145087]
236,430,300,-19.512631368174784,[0.6963202947436826; 1.0; -1.0; -0.6963202947436825]
237,381,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; 1.0; -1.0]
238,388,300,-19.512631368174784,[-1.0; 1.0; 0.6963202947436825; -0.6963202947436825]
239,247,300,-19.512631363373465,[-1.0; -0.6963202947820383; 1.0; 0.6963202947308231]
240,372,300,-19.512631368174794,[-0.6963202947436827; 1.0; -0.9999999999999998; 0.6963202947436828]
241,371,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
242,140,300,-19.512616881868567,[-0.6963204104666317; -1.0; 1.0; 0.6963202707192542]
243,418,300,-19.512631368174784,[-0.6963202947436825; -1.0; 0.6963202947436826; 1.0]
244,370,300,-19.512631368174784,[0.6963202947436825; -1.0; 1.0; -0.6963202947436825]
245,400,300,-19.512631368174784,[1.0; -0.6963202947436817; 0.6963202947436817; -1.0]
246,376,300,-19.512631368174794,[0.6963202947436827; -0.6963202947436828; 0.9999999999999998; -1.0]
247,374,300,-19.512631368174784,[0.6963202947436826; -1.0; 1.0; -0.6963202947436826]
248,358,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; 1.0; -1.0]
249,240,300,-19.512631368159575,[-1.0; 1.0; -0.6963202947437254; 0.6963202947438044]
250,349,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; -1.0; 1.0]
251,198,300,-19.5126313017792,[0.9999999997994833; -0.6963202944194502; -1.0; 0.6963202939616904]
252,422,300,-19.512631368174784,[0.6963202947436825; 1.0; -0.6963202947436825; -1.0]
253,422,300,-19.512631368174784,[0.6963202947436825; 1.0; -0.6963202947436825; -1.0]
254,51,300,-19.501139212476712,[0.6962373253431837; -0.6963513603350243; 1.0; -1.0]
255,335,300,-19.512631368174787,[0.9999999999999999; -1.0; -0.6963202947436822; 0.6963202947436825]
256,394,300,-19.512631368174784,[-1.0; 0.6963202947436825; 1.0; -0.6963202947436826]
257,387,300,-19.512631368174784,[0.6963202947436826; 1.0; -1.0; -0.6963202947436826]
258,378,300,-19.512631368174784,[0.6963202947436826; -1.0; -0.6963202947436825; 1.0]
259,364,300,-19.512631368174784,[1.0; -0.6963202947436825; -1.0; 0.6963202947436826]
260,367,300,-19.512631368174784,[0.6963202947436825; -1.0; -0.6963202947436825; 1.0]
261,448,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
262,31,300,-19.46780204454947,[-1.0; 0.6955348201663638; 1.0; -0.695673849983167]
263,375,300,-19.512631368174784,[-1.0; -0.6963202947436826; 1.0; 0.6963202947436825]
264,361,300,-19.512631368174784,[0.6963202947436825; -1.0; 1.0; -0.6963202947436825]
265,435,300,-19.512631368174794,[0.6963202947436827; -1.0; -0.6963202947436828; 0.9999999999999998]
266,367,300,-19.512631368174784,[-1.0; 0.6963202947436826; -0.6963202947436825; 1.0]
267,338,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436817; -0.6963202947436817]
268,392,300,-19.512631368174784,[0.6963202947436826; -1.0; 1.0; -0.6963202947436826]
269,55,300,-19.50620732609502,[1.0; -0.6963716162665401; -1.0; 0.6963707930374344]
270,374,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
271,388,300,-19.512631368174784,[0.6963202947436817; 1.0; -1.0; -0.6963202947436817]
272,429,300,-19.512631368174784,[0.6963202947436817; 1.0; -1.0; -0.6963202947436817]
273,346,300,-19.512631368174784,[-1.0; -0.6963202947436817; 0.6963202947436817; 1.0]
274,348,300,-19.512631368174784,[1.0; -0.6963202947436826; 0.6963202947436825; -1.0]
275,381,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436826]
276,345,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436826]
277,44,300,-19.483967178332033,[0.6960707889363382; -0.6963272149524501; 1.0; -1.0]
278,475,300,-19.512631368174784,[-0.6963202947436817; -1.0; 1.0; 0.6963202947436817]
279,68,300,-19.48176544291841,[0.6956417456454597; -0.6956394358903547; 1.0; -1.0]
280,367,300,-19.512631368174784,[-0.6963202947436826; 1.0; -1.0; 0.6963202947436825]
281,433,300,-19.512631368174794,[-1.0; -0.6963202947436828; 0.6963202947436827; 0.9999999999999998]
282,82,300,-19.509113730054256,[-1.0; -0.6963483962123597; 0.6963274442958025; 1.0]
283,364,300,-19.512631368174784,[1.0; -1.0; -0.6963202947436825; 0.6963202947436826]
284,367,300,-19.512631368174784,[0.6963202947436817; -1.0; 1.0; -0.6963202947436817]
285,419,300,-19.512631368174784,[0.6963202947436825; 1.0; -1.0; -0.6963202947436825]
286,363,300,-19.512631368174784,[1.0; -0.6963202947436817; 0.6963202947436817; -1.0]
287,359,300,-19.512631368174794,[-0.6963202947436827; 1.0; 0.6963202947436828; -0.9999999999999998]
288,346,300,-19.512631368174784,[0.6963202947436826; 1.0; -1.0; -0.6963202947436825]
289,370,300,-19.512631368174784,[1.0; -0.6963202947436825; -1.0; 0.6963202947436826]
290,373,300,-19.512631368174794,[-0.6963202947436827; 0.6963202947436828; -0.9999999999999998; 1.0]
291,338,300,-19.512631368174784,[-1.0; -0.6963202947436825; 0.6963202947436825; 1.0]
