nPsoRun,n_iter,S,fgbest,optDes
154,149,300,0.4000000000000239,[1.0; -8.543751119968042e-8; 1.0; 3.0841393815358045e-7; -6.773583890705665e-8; -1.0; -1.0]
155,194,300,0.40000000000000013,[-2.7986525456454503e-8; 0.9999999999999996; 1.7148552434937383e-8; -1.0; 1.0; -1.0; 1.2720863653727248e-8]
156,205,300,0.400000000000008,[7.695929862227505e-8; 9.171683512549942e-8; -1.0; -1.6822137617689811e-7; 1.0; -1.0; 1.0]
157,206,300,0.40000000000010494,[-1.0; 1.0842621204174048e-7; 1.0; -5.21218065289308e-7; -1.0; 4.704828392266647e-7; 1.0]
158,179,300,0.40000000000000197,[1.0; 1.0; 3.9022635870822864e-8; -1.0; 2.9443149987300616e-8; -0.9999999999999544; -1.0171216163486843e-8]
159,195,300,0.4000000000000048,[-1.0; 1.3405643949498117e-7; -1.0; 1.0; -5.4341532486873844e-8; 1.0; -2.6549655891518577e-8]
160,174,300,0.4000000000000006,[1.0; -1.2305050316978403e-8; 1.0; -1.0; -3.885336388636344e-8; 3.370927684495692e-8; -1.0]
161,225,300,0.4000000000000019,[1.0; -3.275421663441528e-8; -1.3239414046249504e-8; -1.0; -8.824598484215634e-9; -0.9999999999999415; 1.0]
162,197,300,0.3999999999999999,[1.0; 1.0; -1.0; -1.0; -6.358610414314386e-9; 1.0830250324256711e-8; -2.0497361124546097e-8]
163,199,300,0.40000000000000996,[0.9999999999999521; -1.0; -8.95863966234729e-8; 0.9999999999998013; -1.0; 9.655338865855568e-8; -5.8336173063644315e-8]
164,216,300,0.40000000000001545,[-1.0; 1.0; -1.0; -1.8163557653004897e-7; 2.000181829346859e-7; 1.0; -2.599130535849119e-8]
165,143,300,0.40000000390609486,[1.0; 0.0001251587151152133; 1.0; -2.730218347237577e-5; -1.771696377556281e-5; -1.0; -1.0]
166,192,300,0.3999999999999999,[1.0; -1.0; 1.357229051954717e-8; 1.0; 2.0649877629688628e-8; -8.89957778874112e-9; -1.0]
167,144,300,0.40000000000001246,[-0.9999999999997675; 9.131425686877477e-9; 8.731292801081908e-8; -1.5152513715531765e-7; 1.0; -1.0; 1.0]
168,189,300,0.40000000000000074,[1.0; -1.0; 5.222662774976773e-8; 1.0; 1.1726618888121537e-8; -1.0; -9.586063482753059e-9]
169,221,300,0.40000000000000524,[1.1225637463314841e-7; 1.0; -1.0; -1.0; 1.0; -1.1296220226307257e-7; 7.937117258771994e-9]
170,169,300,0.4000000000000005,[2.8401900312365978e-8; -1.0; -4.409065159416378e-8; 1.0; 3.1239761252851974e-8; -1.0; 1.0]
171,162,300,0.3999999999999999,[-9.37542564635185e-9; -1.0; -1.0; 1.0; 1.0; -5.255108587873783e-9; -8.400589565186878e-9]
172,150,300,0.4000000000000036,[5.088880421673562e-8; -1.0; -1.0; 1.0; 0.999999999999995; 9.293036043557692e-8; 1.4721802158645791e-8]
173,187,300,0.4000000000000006,[1.0; -1.0; -1.0; -2.4471561639687227e-8; 1.0; 4.7943249905384965e-8; -5.165781834121396e-9]
174,164,300,0.4000000000000055,[-1.0; -1.0; 1.0; 8.097995945624433e-8; 1.0; 1.061863584489984e-7; 6.907956554596768e-8]
175,220,300,0.40000000000000246,[-1.0; 6.905162665780417e-8; -8.339144515836047e-8; 1.0; -1.0; 6.048117066441511e-8; 0.9999999999999996]
176,160,300,0.4000000000000003,[3.151464563075456e-8; -1.0; 0.9999999999999961; 1.0; -8.2168312799938e-9; -1.0; -1.962090779405401e-8]
177,141,300,0.4000071741218728,[-0.002361413048838701; 1.0; 1.0; -1.0; 0.004102921523635336; 0.0027131064093320026; -1.0]
178,222,300,0.40000000000000296,[1.0; -7.224446246943869e-8; -1.0; 1.0; -2.2665505755625787e-8; 9.21092224129562e-8; -1.0]
179,181,300,0.40000000000000047,[-1.0; -1.0; 8.925843187080855e-9; 1.0; 1.0; 1.9268384780241594e-8; -3.679044390788323e-8]
180,153,300,0.40000000000206265,[-1.0; 2.004111303562684e-6; 1.4728531166286173e-6; -1.0; -2.3792488429254826e-6; 1.0; 1.0]
181,153,300,0.4000000000000033,[1.0; -1.0; 1.0; 8.945460352445125e-8; 3.660802638553231e-8; -1.0; -8.485337606290622e-8]
182,156,300,0.4000000000000034,[8.902527805243798e-9; -0.9999999999999173; 0.9999999999999738; -4.8806416007272037e-8; 1.0; -1.1287359422457013e-8; -1.0]
183,185,300,0.400000000000001,[-2.951784095034655e-8; -1.0; 1.0; 9.640947270635027e-9; -1.0; 5.809739678939813e-8; 1.0]
