nPsoRun,n_iter,S,fgbest,optDes
55,1777,300,-32.74880850764135,[0.2932133229316778 -0.9989033200384758; 0.9999984410064938 -0.3535060526715233; -0.9846435203935339 -0.6101776090947212; 0.9999999989451193 -0.999999996122271; -0.9999999999999732 -0.9999999986229714; 0.5772096249497204 0.9999993055807259; -0.12443183252262933 -0.016296878102533573; -0.8991273893275153 0.71646909717788; -0.9999999996393805 0.9999999995936594; 0.9999999959233422 0.9901101123582574]
56,6993,300,-32.29569747733666,[0.9999999999999953 -0.9999999999999956; -0.9999999999999993 0.9996585547199591; -0.5508594015623752 -0.9999999999999992; -0.439510868951474 0.9999999999999991; 0.6980669764837326 -0.9330897815845869; 0.9999999999999997 0.9999999999999998; 0.08059905317815805 -0.029547764602974154; -0.9999647830661637 0.1424102271772147; 0.9993321880565045 0.5941171452554873; -0.9999999999999967 -0.9851231787923233]
57,2945,300,-32.15636748726357,[-0.9999999996495256 0.9999999653492002; 0.9797013420860406 -0.15007877278012524; -0.9829114229661767 -0.6217211204188414; -0.26870575372904254 0.013114261268124016; -0.9998880067048435 0.6274127368706865; 0.9999999982384717 -0.9994174899671144; 0.9999999997166574 0.9999668981106212; 0.5415273474425064 0.999999984403061; -0.9999999996618235 -0.9999999967746832; 0.44078267319328585 -1.0]
58,6283,300,-32.781244693765245,[0.9989251424008657 0.5840361235180721; 0.999999999993267 -0.9999999999998188; 0.8781323022251323 -0.7328147225672148; -0.3405890645383003 0.9999999161465982; -0.9999997683206303 0.30209416660127714; -0.9999999999540162 1.0; -0.588833704991287 -0.9985703090695955; 0.014571163128685836 -0.11130986352182977; 0.9999999999709728 0.9999999999999999; -0.999999999999711 -0.9912063940602955]
59,10000,300,-32.27475855178613,[0.978164534275955 1.0; -0.15569041409833873 0.9999803174559949; -0.6140144703747151 -0.9956635095905448; -0.023688211991612324 -0.22651752005760528; 0.6690962409113097 -0.9415343470690601; 0.9999999999999967 -1.0; -0.9999999910457202 0.4265913153426575; 0.9920285221421192 0.5373658525826902; -0.9999999999980063 0.9999999999990659; -0.9999999999999999 -0.9999999999995947]
60,591,300,-32.14268877861329,[-0.999999591151125 0.4787984419033598; 0.9380568956081214 0.9999999999579134; 0.9999986527157786 0.5061897238974882; -0.9999996432405225 -1.0; -0.9999677842935487 0.9999999794619283; 0.036047439052597566 -0.16568011328121976; -0.04179139122893665 0.9999999379367308; -0.7962196927942823 -0.8085525761032555; 0.9999999689886928 -0.9996958593916341; 0.6147379272860137 -0.9927401354236216]
61,3628,300,-32.45263352405367,[0.9999536558426645 -0.4104783052874091; 0.9999999999999982 -1.0; -0.035100061720236046 0.212079482996085; -1.0 1.0; -1.0 -0.9999999999999971; 0.19653138279184695 -0.999042684327447; 0.5992831326883461 0.9999728064956364; -0.909780291672114 -0.64111292373472; 0.9999999999999993 1.0; -0.9961030547049571 0.6680333408399645]
62,3930,300,-30.794270436741144,[0.7418059504727231 -0.9213428983829803; -0.9999999999980324 0.9999999999995675; -0.9999999999983821 -0.9999999999967248; 0.9999999999986019 0.9999999999999647; -0.5702336325892238 -0.9540104832594903; 0.9999999999997325 -0.9999999999893631; 0.7024999877255462 0.9880606730359958; -0.9998274900501212 -0.031196031197485024; -0.6373018247148584 0.8889952015043369; 0.7256129209332715 0.014585147735488878]
63,2400,300,-32.42060042671596,[-0.05567968785991543 -0.17812782916642309; 0.6155497473256192 -0.9741207123119718; 0.9999450185347485 0.9999999999936128; 1.0 0.31994879721652997; -0.9753776891246522 0.5998008954575412; -0.9999999999931923 -0.9999999998791435; 0.9999999999991322 -0.9999999999955473; -0.9999794887061237 0.9999999999981721; 0.3359884416350602 0.9762765974764797; -0.6576724434235525 -0.9991208854613528]
64,4845,300,-31.91039588506874,[-0.9999999999999991 -0.9998919273171679; 0.7071820694140373 -0.9999999999974443; 0.9999999999999079 0.999999999999998; 1.0 -0.9999999999999898; 0.17971044603601427 -0.030505731609876425; 0.9487922049542297 0.6524585635599244; -0.9040391630040235 -0.17963870752649738; -0.5093196692925426 -0.9999999999999516; -0.5857239408077294 1.0; -1.0 0.9237855565893774]
