nPsoRun,n_iter,S,fgbest,optDes
73,362,300,-9.421117037666223,[0.8659811419233127 -0.9999781661096605; -0.5507309322317532 0.9406760898412423; -0.31840528893444725 -0.28079943542209806; 0.9998246405029658 -0.06678316187692793; 0.8839736077789003 0.9999631571018293; -0.6263158045661491 -0.9996547468810891; -0.9998851492739315 0.05011495991086907]
74,732,300,-9.738036090619037,[0.9999998708098865 -0.8829661507087554; -0.9999999998769369 1.0; -0.20557036119988034 -0.9999999979572755; -0.15571387815714546 0.7673821335720348; -0.999999416489742 -0.20558589124841156; 0.9999979402607592 0.9999999668395219; 0.9999999872197004 0.4281836160362953]
75,2224,300,-10.091167138268236,[-0.9999999999999998 -1.0; 0.4080693566612129 0.345150611613032; -0.9999999819713359 0.5113048753681794; 0.9999999999999957 0.8950427523104098; 1.0 -0.9999999999999993; -0.09150731783737899 1.0; 0.172628328189985 -0.9999999999999992]
76,1411,300,-9.91132874633656,[1.0 -0.9999978027816714; 0.9999999255100973 0.8138884382767543; -0.9999999999099215 -0.9999999998284018; 0.11584458249896591 -0.999999977593712; -0.10031962152075859 0.9999998157736151; 0.3793975135980614 0.38171553679071735; -0.9998350257796015 0.6014171445933534]
77,2946,300,-10.030957861326748,[-1.0 -0.9999999999999997; 0.35766712472715023 -0.3947731620813896; 0.9999999999999999 0.09301761382263972; 0.8670134520602633 -0.9999999999999658; 0.5429602211879258 0.999999948834085; -0.9999999999999213 -0.15219224661672634; -1.0 0.9999999999999998]
78,3106,300,-10.155923474265334,[-0.3110723362458806 0.4993738490384107; 0.9999005108301618 0.2592167187039801; 0.999999999999884 0.9999999999999987; -0.9999999999999221 -0.14903729346928637; -0.40437281375225176 -0.999999999999861; -0.9895646497314831 1.0; 0.9999999999999944 -0.9999999999998406]
79,3357,300,-10.183862681763879,[-0.5243178949448926 -0.26991975461301837; -0.999999999421013 -0.9999999999611237; -0.9999999996949793 0.9948266767489201; 0.9999999999753002 -0.3677336325430843; -0.2820000935493581 0.9999999988521214; 0.9999999932392385 0.9999997669990288; 0.13381672047898682 -0.9999999556401067]
80,1211,300,-10.199728810034408,[-0.2790018384919436 0.9999999999218133; -0.5202406141727232 -0.2626004179493061; 0.9999999898019906 0.9999999987758704; -0.999999999956212 0.9999999966598254; 1.0 -0.36780824332182194; 0.11995001228310821 -0.9999992775923874; -0.9999999999955125 -0.9999999996326867]
81,1697,300,-10.165723809074603,[-1.0 0.24072427791608034; -0.9999999999999991 -0.9999999999999999; 0.2825078277273751 0.4758663551080754; 0.4135720888971363 -0.9999999999999997; 0.9640691643409702 0.9999999999999999; 0.9999999999999997 -0.09832939143759206; -0.9999999999999969 0.9999999999999996]
82,1273,300,-9.731276589746823,[0.9999997570582646 -0.7581366654212826; -0.9702663310637776 -0.5982079664750639; 0.09854527877557714 0.9999998576896102; -0.999999634122171 0.9838069382600759; -0.08953898443653917 -0.9999999670925337; 0.999999959798906 0.9498464089423391; 0.3322326258719219 -0.3748515217018821]
83,6271,300,-10.189637059058413,[0.5320303410977884 -0.2439636039928329; 0.9999999999999748 -0.9999999999995792; -0.9999999999998431 -0.3523608449318784; 0.9999999999999996 0.9962162965184489; -0.11426187578879832 -0.999999999999927; -0.9999999992730455 0.9968600162117317; 0.2884297360630378 0.9999999999999712]
84,383,300,-10.198705656043206,[0.9999898843299126 0.3568894777788028; 0.9999908805240272 -0.9980654474148462; 0.10777829999795685 0.9999750466571351; -0.28404515782754175 -0.9999998396945805; -0.9999998186997691 -0.9999188780360216; -0.526920803010929 0.24607671065780978; -0.9999467093089196 1.0]
85,4302,300,-10.01347189457097,[0.09368055752200619 -0.9999999999999762; -0.14651108584408395 1.0; 0.9998461943333952 -0.5518843020157833; -0.3913971298172293 -0.3613529278662981; 1.0 0.999979495007199; -0.9999999999999833 -0.8590903123187695; -0.9999999999999925 0.9999999999999998]
86,3532,300,-10.040893170248145,[0.9999999999999999 -0.15552127152500386; 0.9999999999999919 0.9999999999999997; -0.5377455017480289 0.9999758002213982; -0.8716875050344769 -0.9999999999999938; -0.355595176527812 -0.3967075396140637; 0.9999999999999877 -0.9999999999999979; -0.9999999999999983 0.09264703057311925]
87,1795,300,-10.173086821932507,[-0.4004155225448928 -0.9999999999999988; 0.9999999999999869 -0.9999999999999926; 0.9999999999999999 1.0; -0.999999999999996 -0.10606322554647087; -0.2778312023941589 0.48917654944884337; 1.0 0.2519890698281112; -0.975106641703664 0.9999999999999996]
88,608,300,-10.179983204071757,[-0.520856178717124 -0.280308188039805; 0.9999986927995232 0.9999514069565353; 0.14023651412049035 -1.0; -0.2788211801593932 0.9999942275101318; 0.9999988656557831 -0.3741979828944928; -0.9999862426452537 0.9959325305834632; -0.9999931423307863 -0.9999829992179922]
89,3517,300,-10.13105917361183,[0.45035077764486164 -0.32124152289484365; -0.9999999999999996 1.0; 0.9999999999999992 -0.9414644366181087; -0.10919774560524882 -0.9999999999999994; -0.9999999999999999 -0.4538306659601348; 0.21487473720243944 0.9999999999999997; 0.9999999999999998 0.9999999999999948]
90,10000,300,-9.58546997942854,[-0.9999999999994321 -0.7318383582281807; 0.9552983283708781 -0.5541331553701204; 0.9999999999999947 0.8524284582759829; -0.326671564090576 -0.35806421768504954; -1.0 0.9987647861322438; -0.08869091942109067 0.9999999999997485; 0.013866413331652701 -0.9999999999999444]
